Spanish;PoS;English
conexión;nf;connection, relationship
confederación;nf;confederation, alliance
conferencia;nf;conference, lecture
confesar;v;to confess, admit
confesión;nf;confession, admission
confianza;nf;confidence, trust
confiar;v;to trust, confide
configuración;nf;configuration, shape
configurar;v;to make up, comprise
confirmar;v;to confirm
conflicto;nm;conflict
conformar;v;to conform
conforme;prep;in agreement with
confundir;v;to confuse
confusión;nf;confusion
confuso;adj;confused, mixed up
congelar;v;to freeze
congregación;nf;congregation
congreso;nm;congress
conjunto;nm;group, set
conllevar;v;to involve, bring
conmigo;pron;with me
conmover;v;to move, affect
conocer;v;to know (someone or place)
conocido;adj;known, well-known
conocimiento;nm;knowledge
conquista;nf;conquest
conquistar;v;to conquer, win (over)
consagrar;v;to consecrate, establish
consciente;adj;conscious, aware
consecuencia;nf;consequence
consecutivo;adj;consecutive
conseguir;v;to get, acquire, obtain
consejero;nm/f;advisor, counselor
consejo;nm;advice, council, counsel
consenso;nm;consensus, consent
consentir;v;to consent to, pamper
conservación;nf;conservation
conservador;adj;conservative
conservar;v;to conserve, preserve
considerable;adj;considerable
consideración;nf;consideration, regard
considerar;v;to consider
consigna;nf;watchword, motto, slogan
consiguiente;conj;por c.: consequently
consistir;v;to consist of
consola;nf;console
consolar;v;to console
consolidar;v;to consolidate
constancia;nf;perseverance
constante;adj;constant
constantemente;adv;constantly
constar;v;to consist of, comprise
constatar;v;to prove, verify
constitución;nf;constitution
constitucional;adj;constitutional
constituir;v;to constitute, consist of
construcción;nf;construction
constructor;nm/f;builder, construction
construir;v;to construct, build
consuelo;nm;comfort, consolation
consulta;nf;consultation, advice
consultar;v;to consult
consumidor;nm;consumer
consumir;v;to consume, take in
consumo;nm;consumption
contactar;v;to reach, contact
contacto;nm;contact
contagiar;v;to infect, infest
contaminación;nf;contamination, pollution
contaminar;v;to contaminate, pollute
contar;v;to tell, count
contemplar;v;to contemplate
contemporáneo;adj;contemporary
contener;v;to contain
contenido;nm;contents, content
contento;adj;happy, content
contestar;v;to answer, reply
contexto;nm;context
contigo;pron;with you
continental;adj;continental
continente;nm;continent
continuación;nf;continuation, follow-up
continuamente;adv;continuously
continuar;v;to continue
continuidad;nf;continuity
continuo;adj;continuous
contorno;nm;outline, perimeter, edge
contra;prep;against, opposite
contradicción;nf;contradiction
contradictorio;adj;contradictory
contraer;v;to contract, shrink, abbreviate
contrario;adj;contrary, opposite
contrastar;v;to contrast
contraste;nm;contrast
contratación;nf;hiring, recruitment
contratar;v;to hire, contract
contrato;nm;contract, agreement
contribución;nf;contribution
contribuir;v;to contribute
control;nm;control
controlar;v;to control
controversia;nf;controversy
contundente;adj;decisive, blunt, forceful
convencer;v;to convince, persuade
convención;nf;convention, assembly
convencional;adj;conventional
conveniencia;nf;convenience, usefulness
conveniente;adj;convenient
convenio;nm;agreement
convenir;v;to be agreeable, be convenient
convento;nm;convent, monastery
conversación;nf;conversation
conversar;v;to converse, talk
conversión;nf;conversion, change
convertir;v;to convert, change, become
convicción;nf;conviction
convivencia;nf;coexistence, living together
convivir;v;to coexist
convocar;v;to convene, summon
convocatoria;nf;call, summons
cooperación;nf;cooperation
cooperativa;nf;cooperative, co-op
coordinación;nf;coordination
coordinador;nm/f;coordinator, organizer
coordinar;v;to coordinate
copa;nf;cup, glass, top (tree)
copia;nf;copy
copiar;v;to copy
coraje;nm;courage, toughness
corazón;nm;heart, core
corbata;nf;tie, sash
cordillera;nf;mountain range
cordón;nm;cord, yarn, braid
coro;nm;choir, chorus
corona;nf;crown
coronar;v;to crown, top
coronel;nm;colonel
corporación;nf;corporation
corporal;adj;of the body, corporal
corral;nm;corral, yard
corrección;nf;correction, amendment
correctamente;adv;correctly
correcto;adj;correct, suitable
corredor;nm/f;broker, corridor, runner
corregir;v;to correct, rectify
correo;nm;mail, post (office)
correr;v;to run
correspondencia;nf;correspondence, connection
corresponder;v;to correspond with
correspondiente;adj;corresponding
corriente;nf;current, flow
corriente;adj;current, common
corrupción;nf;corruption
cortar;v;to cut
corte nmf court (f), cut (m)
corteza;nf;bark, crust, rind, peel
cortina;nf;curtain, screen
corto;adj;short, brief
cosa;nf;thing
cosecha;nf;harvest, crop
coser;v;to sew
cosita;nf;little thing
costa;nf;coast
costado;nm;side, flank
costar;v;to cost, be hard
costarricense;adj;Costa Rican
coste;nm;cost, price
costero;adj;coastal
costo;nm;price, cost, expense
costoso;adj;costly, expensive
costumbre;nf;habit, custom, usage
cotidiano;adj;daily
cráneo;nm;skull, cranium
creación;nf;creation
creador;nm;creator
crear;v;to create
creatividad;nf;creativity
creativo;adj;creative
crecer;v;to grow, increase
creciente;adj;growing, increasing
crecimiento;nm;growth, increase
credibilidad;nf;credibility
crédito;nm;credit, reputation
creencia;nf;belief
creer;v;to believe, think
crema;nf;cream
creyente;nc;believer, follower
cría;nf;breeding, raising
criar;v;to bring up, rear
criatura;nf;creature, child
crimen;nm;crime, murder
criminal;adj;criminal
crisis;nf;crisis
cristal;nm;glass, crystal, window
cristianismo;nm;Christianity
cristiano;adj;Christian
criterio;nm;criterion
crítica;nf;criticism, critique
criticar;v;to criticize
crítico;adj;critical
crítico;nm;critic
crónica;nf;account, chronicle
crónico;adj;chronic
cruce;nm;crossing, intersection
crudo;adj;raw, crude, natural
cruel;adj;cruel, harsh
crujir;v;to crunch, creak
cruz;nf;cross, burden
cruzado;adj;crossbred, double-breasted, crossed
cruzar;v;to cross
cuaderno;nm;notebook, workbook
cuadra;nf;(city) block
cuadrado;adj;square
cuadro;nm;painting, picture
cual;pron;which, who, whom
cuál;pron;which?
cualidad;nf;quality, attribute
cualquiera;adj;any, anyone
cuando;adv;when
cuándo;adv;when?
cuanto;adj;en c. a: in terms of, regarding
cuánto;adj;how much?
cuarenta;num;forty
cuartel;nm;quarters, barracks
cuarto;nm;room, chamber
cuarto;adj;fourth
cuatro;num;four
cubano;adj;Cuban
cubierta;nf;covering, top, lid
cubierto;adj;covered
cubrir;v;to cover
cuchillo;nm;knife
cuello;nm;neck, collar
cuenca;nf;socket, basin, bowl
cuenta;nf;bill, account
cuento;nm;story, tale
cuerda;nf;cord, rope
cuerno;nm;horn, antler
cuero;nm;leather, skin
cuerpo;nm;body
cuestión;nf;question, matter
cuestionar;v;to question
cueva;nf;cave
cuidado;nm;care, carefulness
cuidadosamente;adv;carefully
cuidar;v;to take care of
culminar;v;to culminate, accomplish
culo;nm;bottom, butt
culpa;nf;blame, fault
culpable;adj;guilty
cultivar;v;to cultivate, produce
cultivo;nm;cultivation, crop
culto;nm;worship, cult
culto;adj;cultured, educated
cultura;nf;culture
cultural;adj;cultural
cumbre;nf;summit, top
cumpleaños;nm;birthday
cumplimiento;nm;fulfillment, compliment
cumplir;v;to fulfill
cuna;nf;cradle, birth, lineage
cuñado;nm/f;brother-in-law
cuota;nf;quota, share, dues
cúpula;nf;cupola, dome
cura;nmf;priest (m), cure (f)
curar;v;to cure
curiosamente;adv;strangely, funnily enough
curiosidad;nf;curiosity, quaintness
curioso;adj;curious, strange
curso;nm;course, direction
curva;nf;curve
cuyo;pron;whose
dado;conj;d. que: given that
dama;nf;lady, dame
dañar;v;to damage
daño;nm;harm, injury, damage
danza;nf;dance
dar;v;to give
datar;v;to date
dato;nm;data, fact
de;prep;of, from
debajo;prep;underneath, below
debate;nm;debate
debatir;v;to debate, discuss
deber;v;should, ought to, to owe
deber;nm;duty, obligation
debido;adj;d. a: due to
débil;adj;weak
debilidad;nf;weakness
debilitar;v;to weaken, debilitate
década;nf;decade
decadencia;nf;decline, decay
decena;nf;ten (of something)
decente;adj;respectable, decent
decidido;adj;determined, resolute
decidir;v;to decide
décimo;adj;tenth
decir;v;to tell, say
decisión;nf;decision
decisivo;adj;decisive, conclusive
declaración;nf;declaration, statement
declarar;v;to declare, testify
decoración;nf;decoration
decorado;adj;decorated
decorar;v;to decorate
decreto;nm;decree, order
dedicación;nf;dedication, devotion
dedicar;v;to dedicate, devote
dedo;nm;finger, toe, digit
deducir;v;to deduce, infer
defecto;nm;defect
defender;v;to defend, protect
defensa;nf;defense, plea
defensivo;adj;defensive
defensor;nm/f;defender
deficiencia;nf;deficiency, lack
déficit;nm;deficit, shortage
definición;nf;definition
definido;adj;definite
definir;v;to define
definitivamente;adv;definitely, finally
definitivo;adj;definitive, conclusive
dejar;v;to let, leave
delante;adv;(in) front (of), ahead
delegación;nf;delegation
delegado;nm/f;delegate, representative
delgado;adj;thin, skinny
delicado;adj;delicate
delicioso;adj;delicious, delightful, charming
delincuente;nc;delinquent
delirio;nm;delirium, nonsense
delito;nm;crime, offense
demanda;nf;petition, request, demand
demandar;v;to claim, sue
demás;adj;the rest, others
demasiado;adv;too much
democracia;nf;democracy
democrático;adj;democratic
demonio;nm;demon, devil
demorar;v;to delay, take time
demostración;nf;demonstration
demostrar;v;to show, demonstrate
denominación;nf;name, denomination
denominar;v;to call, name
densidad;nf;density, thickness
denso;adj;heavy, dense, thick
dentro;adv;inside
denuncia;nf;accusation
denunciar;v;to denounce
departamento;nm;department, apartment
dependencia;nf;dependence, dependency
depender;v;to depend on
deporte;nm;sport
deportivo;adj;sports, sporty
depositar;v;to deposit, place, store
depósito;nm;deposit, sediment
depresión;nf;depression, slump
derecha;nf;right, right hand
derecho;nm;right, justice, law
derecho;adj;right, straight
derivar;v;to derive, come (from)
derramar;v;to shed, pour out
derribar;v;to knock down, overthrow
derrota;nf;defeat, loss
derrotar;v;to defeat, beat
derrumbar;v;to knock down, demolish
desafiar;v;to defy, stand up to
desafío;nm;challenge, provocation
desagradable;adj;unpleasant
desaparecer;v;to disappear, vanish
desaparición;nf;disappearance
desarrollar;v;to develop
desarrollo;nm;development
desastre;nm;disaster
desatar;v;to untie, unleash, spark off
desayunar;v;to have breakfast
desayuno;nm;breakfast
desbordar;v;to overflow, spill over
descalzo;adj;barefoot
descansar;v;to rest
descanso;nm;rest, interval, break
descarga;nf;unloading, discharge
descargar;v;to unleash, unload
descartar;v;to discard, reject, rule out
descender;v;to descend
descendiente;nc;descendant
descenso;nm;decline, descent, lowering
descifrar;v;to decipher
desconfianza;nf;distrust
desconocer;v;to not know, not recognize
desconocido;adj;unknown
describir;v;to describe
descripción;nf;description
descubrimiento;nm;discovery
descubrir;v;to discover
descuidar;v;to neglect
descuido;nm;neglect, oversight
desde;prep;from, since
desear;v;to want, desire, wish for
desembocar;v;to flow, lead into
desempeñar;v;to carry out, fulfill
desempeño;nm;performance, achievement
desempleo;nm;unemployment
desencadenar;v;to unleash, unchain
desenvolver;v;to clear up, unwrap
deseo;nm;desire, wish
desesperación;nf;desperation, exasperation
desesperado;adj;desperate, hopeless
desesperar;v;to despair, lose hope
desfile;nm;parade, line, formation
desgracia;nf;misfortune, bad luck
desgraciadamente;adv;unfortunately
deshacer;v;to undo, destroy, take apart
desierto;nm;desert
desierto;adj;deserted, desolate
designar;v;to designate
desigualdad;nf;inequality, unevenness
deslizar;v;to slide, glide, slip
desnudo;adj;nude, naked
desorden;nm;disorder, mess
despacho;nm;office, study
despacio;adj;slow, slowly
despedida;nf;goodbye, farewell
despedir;v;to say goodbye (to), dismiss
despegar;v;to detach, take off (plane)
despertar;v;to wake (up), arouse
despierto;adj;awake
desplazamiento;nm;movement, removal
desplazar;v;to replace, move, shift
desplegar;v;to unfold, deploy
despojar;v;to deprive, rob
despreciar;v;to despise, scorn
desprecio;nm;contempt, disdain
desprender;v;to detach, release, remove
después;adv;after
destacar;v;to emphasize, stand out
destinar;v;to assign, appoint
destino;nm;destination, destiny
destrozar;v;to rip/break into pieces
destrucción;nf;destruction
destruir;v;to destroy, ruin
desvanecer;v;to fade, dispel
desviar;v;to deviate, divert, change
detallado;adj;detailed, thorough
detallar;v;to detail, itemize
detalle;nm;detail
detectar;v;to detect
detención;nf;detention, arrest
detener;v;to stop, detain
detenido;nm/f;prisoner, detainee
deteriorar;v;to deteriorate
deterioro;nm;deterioration, damage
determinación;nf;determination
determinado;adj;determined, fixed
determinar;v;to determine, decide
detrás;adv;behind
deuda;nf;debt
devoción;nf;devotion
devolver;v;to return, give back
devorar;v;to devour, consume
día;nm;day
diabetes;nf;diabetes
diablo;nm;devil
diagnóstico;nm;diagnosis
dialogar;v;to confer, talk
diálogo;nm;dialogue, conversation
diámetro;nm;diameter
diariamente;adv;daily
diario;nm;newspaper
diario;adj;daily
dibujar;v;to draw, sketch
dibujo;nm;drawing, sketch
diccionario;nm;dictionary
dicho;adj;aforementioned, said
diciembre;nm;December
dictador;nm;dictator
dictadura;nf;dictatorship
dictar;v;to dictate, announce
diecinueve;num;nineteen
dieciocho;num;eighteen
dieciséis;num;sixteen
diecisiete;num;seventeen
diente;nm;tooth, cog
dieta;nf;diet
diez;num;ten
diferencia;nf;difference
diferenciar;v;to differentiate, distinguish
diferente;adj;different, separate
diferir;v;to differ
difícil;adj;difficult, hard
difícilmente;adv;with difficulty
dificultad;nf;difficulty, obstacle
dificultar;v;to hinder, obstruct
difundir;v;to spread (out)
difunto;nm/f;deceased
difusión;nf;spread, diffusion
digital;adj;digital
dignidad;nf;dignity
digno;adj;worthy
diluir;v;to dilute, weaken
dimensión;nf;dimension, size
diminuto;adj;diminutive, tiny, minute
dinámica;nf;dynamics
dinámico;adj;dynamic
dinastía;nf;dynasty
dinero;nm;money
dios;nm/f;god, divinity
diosa;nf;goddess
diplomático;adj;diplomatic
diputado;nm/f;deputy, member
dirección;nf;direction, address
directamente;adv;directly, straight away
directivo;nm/f;executive, manager
directivo;adj;managerial, administrative
directo;adj;direct, straight
director;nm/f;director, manager, principal
dirigente;nc;leader, director, manager
dirigir;v;to direct, manage
disciplina;nf;discipline, subject
discípulo;nm/f;disciple
disco;nm;disc, disk, record
discreto;adj;discreet, tactful
discriminación;nf;discrimination
disculpa;nf;apology, excuse
disculpar;v;to excuse
discurso;nm;lecture, discourse, talk
discusión;nf;discussion, argument
discutir;v;to argue, discuss
diseñador;nm/f;designer, stylist
diseñar;v;to design, develop
diseño;nm;design
disfrazar;v;to disguise, hide, conceal
disfrutar;v;to enjoy
disgusto;nm;disgust, annoyance
disimular;v;to disguise, hide, pretend
disminución;nf;reduction, decrease
disminuir;v;to decrease, diminish
disolver;v;to dissolve
disparar;v;to shoot (at)
disparo;nm;shot, discharge
dispersar;v;to disperse, scatter, spread
disponer;v;to have means, dispose
disponibilidad;nf;availability
disponible;adj;available
disposición;nf;disposal, disposition
dispositivo;nm;device, mechanism
dispuesto;adj;willing, ready
disputa;nf;dispute, argument, quarrel
disputar;v;to dispute, contest
distancia;nf;distance
distante;adj;distant, far, remote
distinción;nf;distinction
distinguir;v;to distinguish
distinto;adj;distinct, different
distraer;v;to distract
distribución;nf;distribution
distribuir;v;to distribute, deliver
distrito;nm;district, area
diversidad;nf;diversity, variety
diversión;nf;fun, entertainment
diverso;adj;different, various, several
divertido;adj;funny, amusing
divertir;v;to amuse, entertain
dividir;v;to divide
divino;adj;divine
divisa;nf;currency, emblem
divisar;v;to distinguish, perceive
división;nf;division
divorcio;nm;divorce
doblar;v;to bend, turn
doble;adj;double
doce;num;twelve
docena;nf;dozen
docente;nc;teacher
doctor;nm/f;doctor
doctrina;nf;doctrine, teachings
documentación;nf;documentation
documental;adj;documentary
documento;nm;document
dólar;nm;dollar
doler;v;to hurt
dolor;nm;pain, ache, sorrow
doloroso;adj;painful
doméstico;adj;domestic
domicilio;nm;residence, address
dominante;adj;dominant, prevailing
dominar;v;to dominate, master
domingo;nm;Sunday
dominicano;adj;Dominican
dominio;nm;power, control
don;nm;courtesy title (m), Mr., gift
doña;nf;courtesy title (f), Mrs.
donación;nf;donation
donar;v;to donate
donde;adv;where
dónde;adv;where?
dorado;adj;golden, gold-plated
dormir;v;to sleep
dormitorio;nm;bedroom, dormitory
dos;num;two
doscientos;num;two hundred
dosis;nf;dose
dotar;v;to endow, bestow
drama;nm;drama
dramático;adj;dramatic
droga;nf;drug
duda;nf;doubt
dudar;v;to (have) doubt
dudoso;adj;doubtful, dubious
duelo;nm;grief, affliction
dueña;nf;landlady, owner (f)
dueño;nm;owner, landlord (m)
dulce;adj;sweet
dulce;nm;candy, sweets
duplicar;v;to double, duplicate
duque;nm;duke
duración;nf;duration, length
durante;prep;during
durar;v;to last
dureza;nf;hardness, toughness
duro;adj;hard
echar;v;to throw, cast
eco;nm;echo, response
ecológico;adj;ecological, organic
economía;nf;economy, economics, thriftiness
económicamente;adv;economically
económico;adj;economic
economista;nm/f;economist
ecosistema;nm;ecosystem
ecuación;nf;equation
edad;nf;age
edición;nf;edition, publication
edificio;nm;building
editar;v;to edit, publish, release
editor;nm/f;editor, publisher
editorial nmf publisher (f), editorial article (m)
editorial;adj;editorial
educación;nf;education
educar;v;to educate
educativo;adj;educational
efectivamente;adv;in fact, actually, indeed
efectivo;adj;effective
efecto;nm;effect
efectuar;v;to carry out, cause to happen
eficacia;nf;efficiency, effectiveness
eficaz;adj;effective
eficiencia;nf;efficiency
eficiente;adj;efficient
eh;interj;eh
eje;nm;axis, shaft, crux
ejecución;nf;performance, execution
ejecutar;v;to execute, carry out
ejecutivo;adj;executive
ejecutivo;nm;executive, manager
ejemplar;nm;copy, issue
ejemplo;nm;example
ejercer;v;to practice, exercise
ejercicio;nm;exercise, practice
ejército;nm;army
el/la art the (+m, f)
él;pron;he, [ellos] them (m)
elaboración;nf;production
elaborado;adj;thorough, elaborate
elaborar;v;to make, develop
elección;nf;election, choice
electoral;adj;electoral
electricidad;nf;electricity
eléctrico;adj;electric
electrón;nm;electron
electrónico;adj;electronic
elegancia;nf;elegance, style
elegante;adj;elegant, smart, stylish
elegir;v;to choose, elect
elemental;adj;elemental, basic
elemento;nm;element
elevado;adj;elevated, high, lofty
elevar;v;to elevate, raise
eliminación;nf;elimination
eliminar;v;to eliminate, exclude
ella;pron;she, [ellas] them (f)
ello;pron;it (subj-n)
embajada;nf;embassy
embajador;nm/f;ambassador
embarazada;adj;pregnant
embarazo;nm;pregnancy
embarcación;nf;ship, embarkation
embarcar;v;to embark, load
embargo;adv;nevertheless
emergencia;nf;emergency
emerger;v;to emerge, surface
emigrar;v;to emigrate
emisión;nf;broadcast, emission
emisor;nm;transmitter, emitter
emitir;v;to emit, give (off)
emoción;nf;emotion, excitement
emocional;adj;emotional
emocionar;v;to move, make/get excited
empapar;v;to soak, drench
empeñar;v;[se] to insist on
empeño;nm;insistence, determination
emperador;nm;emperor
empezar;v;to begin, start
empleado;nm;employee
emplear;v;to employ
empleo;nm;work, job, occupation
emprender;v;to undertake, embark on
empresa;nf;firm, company, venture
empresarial;adj;managerial
empresario;nm/f;manager, entrepreneur
empujar;v;to push, shove
en;prep;in, on
enamorar;v;to fall in love
encabezar;v;to head, lead (off)
encajar;v;to insert, fit well
encaje;nm;lace
encaminar;v;to head for, guide
encantado;adj;pleased, delighted
encantar;v;to be very pleasing to
encanto;nm;charm, spell
encarar;v;to face, confront
encargado;nm;manager, person in charge
encargar;v;to entrust, [se] take charge of
encargo;nm;job, order, errand
encender;v;to turn on
encendido;adj;turned on, burning
encerrar;v;to shut (in)
encierro;nm;confinement, imprisonment
encima;adv;above, on top, in addition
encoger;v;to shrink
encontrar;v;to find
encuentro;nm;meeting, game, skirmish
encuesta;nf;poll, survey, inquiry
endurecer;v;harden, make hard
enemigo;nm/f;enemy
energético;adj;energetic
energía;nf;energy, power
enero;nm;January
énfasis;nm;emphasis
enfatizar;v;to emphasize, stress
enfermar;v;to become ill
enfermedad;nf;illness, sickness
enfermero;nm/f;nurse
enfermo;adj;ill, sick
enfocar;v;to focus
enfoque;nm;focus, approach
enfrentamiento;nm;confrontation
enfrentar;v;to confront, face
enfrente;adv;in front (of)
enfriar;v;to cool
engañar;v;to trick, deceive
engaño;nm;deceit, falsehood, hoax
enlace;nm;link, connection, bond
enlazar;v;to link, connect
enloquecer;v;to madden, derange
enmarcar;v;to frame
enojar;v;to anger, annoy
enorme;adj;enormous, vast
enormemente;adv;enormously
enredar;v;to entangle, ensnare
enriquecer;v;to enrich
ensayar;v;to test
ensayo;nm;essay, rehearsal
enseguida;adv;immediately, at once
enseñanza;nf;teaching, instruction
enseñar;v;to teach, show
ente;nm;entity, being, firm
entender;v;to understand
entendimiento;nm;understanding
enterar;v;to find out [se]
entero;adj;entire, whole, complete
enterrar;v;to bury
entidad;nf;entity
entierro;nm;burial
entonar;v;to intone, sing, modulate
entonces;adv;so, then
entorno;nm;environment, surroundings
entrabar;v;to obstruct
entrada;nf;entrance, admission ticket
entrañas;nf;insides, bowels
entrar;v;to enter
entre;prep;between, among
entrega;nf;delivery
entregar;v;to deliver
entrenador;nm/f;coach, trainer, manager
entrenamiento;nm;training
entrenar;v;to train
entretener;v;to entertain, amuse
entretenimiento;nm;entertainment
entrever;v;to glimpse, guess
entrevista;nf;interview, meeting
entrevistar;v;to interview
entusiasmar;v;to fill with enthusiasm, excite
entusiasmo;nm;enthusiasm
envejecer;v;to age, grow old
enviar;v;to send
envidia;nf;envy
envidiar;v;to envy
envío;nm;shipment, delivery
envolver;v;to wrap
episodio;nm;episode, incident
época;nf;time, age, period
equilibrar;v;to balance
equilibrio;nm;balance
equipo;nm;team, equipment, outfit
equivalente;nm;equivalent
equivaler;v;to be equivalent, tantamount (to)
equivocar;v;to be wrong
erguir;v;to straighten, raise
error;nm;error, mistake
escala;nf;scale, ladder, rank
escalera;nf;stairs, ladder
escalón;nm;stair, rung,
escándalo;nm;scandal
escapar;v;to escape
escasez;nf;scarcity, shortage
escaso;adj;scarce, very little
escena;nf;scene, stage, setting
escenario;nm;stage, setting, scene
esclavitud;nf;slavery
esclavo;nm/f;slave
escoger;v;to choose
escolar;adj;school, scholastic
esconder;v;to hide, conceal
escribir;v;to write
escrito;adj;written
escritor;nm/f;writer
escritorio;nm;desk, bureau
escritura;nf;writing, scripture
escuchar;v;to listen to
escudo;nm;shield, coat of arms
escuela;nf;school
escultura;nf;sculpture, carving
escupir;v;to spit
escurrir;v;to drip, drain, trickle
ese;adj;that (m) [esa (f)]
ése;pron;that one (m), [ésa (f)]
esencia;nf;essence
esencial;adj;essential
esencialmente;adv;essentially
esfera;nf;sphere, globe
esforzar;v;to make an effort, exert oneself
esfuerzo;nm;effort, endeavor
eso;pron;that (n)
espacial;adj;spatial, space
espacio;nm;space, room
espada;nf;sword
espalda;nf;back (body)
español;adj;Spanish
espantar;v;to scare, frighten
espanto;nm;fright, ghost
espantoso;adj;frightening, dreadful
especial;adj;special
especialidad;nf;specialty, specialized field
especialista;nc;specialist
especializado;adj;specialized, skilled
especializar;v;to specialize, major in
especialmente;adv;especially
especie;nf;kind, sort, species
específicamente;adv;specifically
especificar;v;to specify, itemize
específico;adj;specific
espectacular;adj;spectacular
espectáculo;nm;spectacle, show
espectador;nm;spectator, onlooker
espectro;nm;ghost, specter
especulación;nf;speculation, conjecture
espejo;nm;mirror, reflection
espera;nf;wait
esperanza;nf;hope
esperar;v;to wait, hope (for), expect
espeso;adj;thick, dense, stiff
espiar;v;to spy on
espina;nf;thorn, spine
espíritu;nm;spirit, ghost
espiritual;adj;spiritual
espléndido;adj;splendid, generous
esplendor;nm;splendor
espontáneo;adj;spontaneous
esposa;nf;wife
esposo;nm;husband, spouse
espuma;nf;foam, lather
esquema;nm;outline, diagram, plan
esquina;nf;corner
estabilidad;nf;stability
estable;adj;stable, steady
establecer;v;to establish
establecimiento;nm;establishment
estación;nf;station, season
estadio;nm;stadium
estadística;nf;statistic
estadístico;adj;statistical
estado;nm;state, condition, status
estadounidense;adj;U.S., American
estallar;v;to break out, explode, start
estancia;nf;stay, stance, ranch
estar;v;to be (location, change from norm)
estatal;adj;state, government-owned
estatua;nf;statue
estatura;nf;stature, height
estatuto;nm;statute
este;adj;this (m) [esta (f)]
éste;pron;this one (m), [ésta (f)]
estética;nf;aesthetics
estético;adj;esthetic
estilo;nm;style
estimación;nf;estimate
estimar;v;to estimate, hold in esteem
estimular;v;to stimulate, encourage
estímulo;nm;stimulus, encouragement
estirar;v;to stretch, strain
esto;pron;this (n)
estómago;nm;stomach
estrategia;nf;strategy
estratégico;adj;strategic
estrechar;v;to tighten, make closer
estrecho;adj;narrow
estrella;nf;star
estrellar;v;to crash
estremecer;v;to shake, tremble
estrenar;v;to use for the first time, debut
estreno;nm;premiere, debut
estrés;nm;stress
estrictamente;adv;strictly
estricto;adj;strict, rigorous
estructura;nf;structure
estructural;adj;structural
estudiante;nc;student
estudiantil;adj;student
estudiar;v;to study
estudio;nm;study, learning
estupendo;adj;marvelous, stupendous
estupidez;nf;stupidity, stupid thing
estúpido;adj;stupid, idiotic
etapa;nf;stage, period
etcétera n etcetera
eternidad;nf;eternity
eterno;adj;eternal
ética;nf;ethics
ético;adj;ethical
etiqueta;nf;label, etiquette
étnico;adj;ethnic
euro;nm;euro
europeo;adj;European
evaluación;nf;evaluation, assessment
evaluar;v;to evaluate, assess
evangelio;nm;gospel
evento;nm;event
evidencia;nf;evidence, certainty
evidente;adj;evident, obvious
evidentemente;adv;evidently, obviously
evitar;v;to avoid, prevent
evocar;v;to evoke, recall
evolución;nf;evolution, development
evolucionar;v;to evolve, develop
exactamente;adv;exactly
exacto;adj;exact, faithful, true
exagerar;v;to exaggerate
examen;nm;examination, exam
examinar;v;to examine, inspect
exceder;v;to excel, exceed
excelencia;nf;excellence
excelente;adj;excellent
excepción;nf;exception
excepcional;adj;exceptional, unusual
excepto;prep;except (for)
excesivo;adj;excessive
exceso;nm;excess
exclamar;v;to exclaim
excluir;v;to exclude, reject
exclusivamente;adv;exclusively
exclusivo;adj;exclusive
excursión;nf;excursion
excusa;nf;excuse
exhibición;nf;exhibition, showing
exhibir;v;to exhibit, show off
exigencia;nf;requirement, demand
exigir;v;to demand
exilio;nm;exile
existencia;nf;existence, life
existente;adj;existing
existir;v;to exist
éxito;nm;success
exitoso;adj;successful
exótico;adj;exotic
expandir;v;to expand
expansión;nf;expansion, spreading
expectativa;nf;expectation, hope, prospect
expedición;nf;expedition
expediente;nm;dossier, proceedings
experiencia;nf;experience
experimental;adj;experimental
experimentar;v;to experience, experiment
experimento;nm;experiment
experto;nm/f;expert
explicación;nf;explanation
explicar;v;to explain
exploración;nf;exploration
explorar;v;to explore
explosión;nf;explosion
explotación;nf;exploitation, cultivation
explotar;v;to explode, exploit
exponer;v;to expound, expose
exportación;nf;export, exportation
exportar;v;export
exposición;nf;exhibition, display
expresar;v;to express
expresión;nf;expression
expresivo;adj;expressive
expulsar;v;to expel, throw out
expulsión;nf;expulsion, ejection
exquisito;adj;exquisite, superb
extender;v;to extend, spread
extensión;nf;extension, area, expanse
extenso;adj;extensive, large
exterior;adj;exterior, outside
externo;adj;external, outward
extinción;nf;extinction
extinguir;v;to extinguish, put out
extra;adj;extra
extraer;v;to extract, take out
extrañar;v;to miss, long for
extranjero;nm/f;foreigner
extraño;adj;strange, foreign
extraordinario;adj;extraordinary, exceptional
extremadamente;adv;extremely
extremo;nm;edge, border, end
extremo;adj;extreme
fábrica;nf;factory, manufacture
fabricación;nf;manufacture, production
fabricante;nm;manufacturer
fabricar;v;to manufacture
fabuloso;adj;fabulous, fantastic
facción;nf;(face) feature, faction
fachada;nf;façade, front of building
fácil;adj;easy
facilidad;nf;ease, facility
facilitar;v;to facilitate
fácilmente;adv;easily
factor;nm;factor, cause, influence
factura;nf;invoice, bill
facultad;nf;faculty, ability
falda;nf;skirt
falla;nf;flaw, failure
fallar;v;to fail, miss
fallecer;v;to pass away (to die)
fallo;nm;mistake, blunder, fault
falso;adj;FALSE
falta;nf;lack, shortage
faltar;v;to be lacking
fama;nf;reputation, fame
familia;nf;family
familiar;adj;familiar, of the family
familiar;nm;relative
famoso;adj;famous, well-known
fantasía;nf;fantasy, fancy
fantasma;nm;ghost, phantom
fantástico;adj;fantastic, unreal
